Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,2,388.05,0.1467918,4.199893,11.58288
0,2,389.05,0.1451133,4.199893,11.58288
0,2,390.05,0.1449607,4.199893,11.58288
0,2,391.05,0.1451133,4.200046,11.58288
0,2,392.05,0.1449607,4.19974,11.58288
0,2,393.05,0.1448081,4.200046,11.58288
0,2,394.05,0.1440452,4.200046,11.58288
0,2,395.05,0.1440452,4.200046,11.58288
0,2,396.05,0.14374,4.199893,11.58288
0,2,397.05,0.1441978,4.200046,11.58288
0,2,398.05,0.1434348,4.200046,11.58288
0,2,399.05,0.1423667,4.200046,11.58288
0,2,400.05,0.1426719,4.200046,11.58288
0,2,401.05,0.1426719,4.200046,11.58288
0,2,402.05,0.1419089,4.200198,11.56585
0,2,403.05,0.141146,4.200046,11.56585
0,2,404.05,0.1416037,4.200046,11.56585
0,2,405.05,0.1408408,4.200046,11.56585
0,2,406.05,0.1414511,4.199893,11.56585
0,2,407.05,0.1412985,4.200046,11.56585
0,2,408.05,0.1406882,4.199893,11.56585
0,2,409.05,0.1409934,4.200046,11.56585
0,2,410.05,0.1409934,4.200046,11.56585
0,2,411.05,0.140383,4.200046,11.56585
0,2,412.05,0.1400778,4.199893,11.56585
0,2,413.05,0.1406882,4.200046,11.56585
0,2,414.05,0.1387045,4.199893,11.54882
0,2,415.05,0.1391623,4.19974,11.54882
0,2,416.05,0.1387045,4.199893,11.54882
0,2,417.05,0.1393149,4.200046,11.5318
0,2,418.05,0.1394675,4.200046,11.5318
0,2,419.05,0.1383993,4.199893,11.5318
0,2,420.05,0.1385519,4.199893,11.5318
0,2,421.05,0.1380941,4.200046,11.5318
0,2,422.05,0.1383993,4.200046,11.5318
0,2,423.05,0.1379416,4.199893,11.5318
0,2,424.05,0.1371786,4.200046,11.5318
0,2,425.05,0.1371786,4.199893,11.5318
0,2,426.05,0.1365682,4.200046,11.54882
0,2,427.05,0.1365682,4.200198,11.54882
0,2,428.05,0.1362631,4.200046,11.54882
0,2,429.05,0.1359579,4.200046,11.54882
0,2,430.05,0.1362631,4.19974,11.54882
0,2,431.05,0.1348898,4.199893,11.5318
0,2,432.05,0.1367208,4.200046,11.5318
0,2,433.05,0.134432,4.199893,11.5318
0,2,434.05,0.1341268,4.200046,11.5318
0,2,435.05,0.1351949,4.200046,11.5318
0,2,436.05,0.1350423,4.200046,11.51477
0,2,437.05,0.134432,4.199893,11.51477
0,2,438.05,0.1341268,4.200046,11.51477
0,2,439.05,0.1335164,4.19974,11.51477
0,2,440.05,0.133669,4.200046,11.51477
0,2,441.05,0.1326009,4.200198,11.51477
0,2,442.05,0.1330587,4.200046,11.51477
0,2,443.05,0.1338216,4.200046,11.51477
0,2,444.05,0.1330587,4.199893,11.51477
0,2,445.05,0.1327535,4.200046,11.51477
0,2,446.05,0.1329061,4.200046,11.51477
0,2,447.05,0.1319905,4.199893,11.51477
0,2,448.05,0.1318379,4.200046,11.51477
0,2,449.05,0.1315328,4.200046,11.51477
0,2,450.05,0.131075,4.200198,11.51477
0,2,451.05,0.1315328,4.199893,11.51477
0,2,452.05,0.1313802,4.199893,11.51477
0,2,453.05,0.1321431,4.200046,11.51477
0,2,454.05,0.130312,4.200046,11.51477
0,2,455.05,0.1307698,4.200046,11.51477
0,2,456.05,0.1306172,4.200046,11.51477
0,2,457.05,0.1300069,4.200046,11.51477
0,2,458.05,0.1298543,4.200046,11.51477
0,2,459.05,0.1298543,4.199893,11.51477
0,2,460.05,0.1297017,4.19974,11.51477
0,2,461.05,0.1289387,4.199893,11.51477
0,2,462.05,0.1290913,4.200198,11.51477
0,2,463.05,0.1293965,4.200046,11.51477
0,2,464.05,0.1286336,4.200046,11.51477
0,2,465.05,0.1287861,4.200198,11.51477
0,2,466.05,0.1278706,4.200046,11.51477
0,2,467.05,0.1283284,4.200046,11.51477
0,2,468.05,0.127718,4.200046,11.51477
0,2,469.05,0.1278706,4.200046,11.51477
0,2,470.05,0.1275654,4.200046,11.51477
0,2,471.05,0.1268025,4.199893,11.51477
0,2,472.05,0.1274128,4.200198,11.51477
0,2,473.05,0.1268025,4.199893,11.51477
0,2,474.05,0.1269551,4.200046,11.49774
0,2,475.05,0.1266499,4.199893,11.49774
0,2,476.05,0.1261921,4.199893,11.49774
0,2,477.05,0.1268025,4.200046,11.49774
0,2,478.05,0.1255818,4.199893,11.49774
0,2,479.05,0.1257343,4.199893,11.51477
0,2,480.05,0.1249714,4.199893,11.49774
0,2,481.05,0.1245136,4.199893,11.49774
0,2,482.05,0.1245136,4.200046,11.49774
0,2,483.05,0.125124,4.200046,11.49774
0,2,484.05,0.1254292,4.200046,11.49774
0,2,485.05,0.1249714,4.199893,11.49774
0,2,486.05,0.1245136,4.199893,11.49774
0,2,487.05,0.124361,4.200046,11.49774
0,2,488.05,0.1239033,4.200046,11.49774
0,2,489.05,0.1232929,4.199893,11.49774
0,2,490.05,0.1232929,4.200198,11.48071
0,2,491.05,0.1225299,4.199893,11.48071
0,2,492.05,0.1234455,4.200046,11.48071
0,2,493.05,0.1235981,4.200046,11.48071
0,2,494.05,0.1231403,4.200046,11.48071
0,2,495.05,0.1226825,4.200046,11.48071
0,2,496.05,0.1223774,4.200046,11.49774
0,2,497.05,0.1219196,4.199893,11.49774
0,2,498.05,0.1222248,4.200046,11.49774
0,2,499.05,0.1226825,4.199893,11.49774
0,2,500.05,0.1216144,4.199893,11.49774
0,2,501.05,0.1213092,4.199893,11.49774
0,2,502.05,0.121767,4.199893,11.49774
0,2,503.05,0.1213092,4.200046,11.49774
0,2,504.05,0.1213092,4.200046,11.49774
0,2,505.05,0.1208515,4.200046,11.49774
0,2,506.05,0.1219196,4.200198,11.49774
0,2,507.05,0.1202411,4.200046,11.49774
0,2,508.05,0.1205463,4.199893,11.48071
0,2,509.05,0.1203937,4.199893,11.48071
0,2,510.05,0.1203937,4.200046,11.48071
0,2,511.05,0.1197833,4.200046,11.48071
0,2,512.05,0.1196307,4.200046,11.48071
0,2,513.05,0.119173,4.200046,11.48071
0,2,514.05,0.1188678,4.199893,11.48071
0,2,515.05,0.1193255,4.200046,11.48071
0,2,516.05,0.1171893,4.200046,11.48071
0,2,517.05,0.1176471,4.19974,11.48071
0,2,518.05,0.1179522,4.200046,11.48071
0,2,519.05,0.1177996,4.199893,11.48071
0,2,520.05,0.1170367,4.200046,11.48071
0,2,521.05,0.1181048,4.199893,11.48071
0,2,522.05,0.1181048,4.200046,11.48071
0,2,523.05,0.1185626,4.200046,11.48071
0,2,524.05,0.1165789,4.200046,11.48071
0,2,525.05,0.1167315,4.200046,11.48071
0,2,526.05,0.1173419,4.199893,11.48071
0,2,527.05,0.1168841,4.200046,11.48071
0,2,528.05,0.1167315,4.19974,11.48071
0,2,529.05,0.1159686,4.200046,11.46369
0,2,530.05,0.1162737,4.199893,11.46369
0,2,531.05,0.1156634,4.199893,11.46369
0,2,532.05,0.1162737,4.200046,11.46369
0,2,533.05,0.115816,4.200046,11.46369
0,2,534.05,0.115053,4.199893,11.46369
0,2,535.05,0.1159686,4.200046,11.46369
0,2,536.05,0.1161212,4.200046,11.46369
0,2,537.05,0.1152056,4.200046,11.46369
0,2,538.05,0.1155108,4.199893,11.46369
0,2,539.05,0.115816,4.200046,11.46369
0,2,540.05,0.1145953,4.200046,11.46369
0,2,541.05,0.1141375,4.199893,11.46369
0,2,542.05,0.1139849,4.200046,11.46369
0,2,543.05,0.1136797,4.199893,11.46369
0,2,544.05,0.1144427,4.200046,11.46369
0,2,545.05,0.1139849,4.200046,11.46369
0,2,546.05,0.1142901,4.199893,11.46369
0,2,547.05,0.1132219,4.200046,11.46369
0,2,548.05,0.1129168,4.19974,11.46369
0,2,549.05,0.1126116,4.200046,11.46369
0,2,550.05,0.1121538,4.200046,11.46369
